1.FAM,2.SP,2.Especies2,3.MSUG,4.CSUG,5.NPOL,6.VPOL,7.POR,8.AN,9.SIZ,10.SIM,12.HUE,13.BRI,14.CHR,15.UV,16.GC,17.DIST,18.CAT
BORAGINACEAE,Cynoglossum creticum,Cynoglossum_creticum,300,,359625,0.16,3,B,8.5,R,699.97,270.23233,1.510434285,0.200773565,0.10374163,0.198028162,UV-B
BORAGINACEAE,Echium gaditanum,echium_gaditanum,218,11.73,194825,0.18,3,,16,Z,699.21,202.4786033,1.449854813,0.240931585,0.001039634,0.280768907,UV-B
BORAGINACEAE,Echium plantagineum,Echium_plantagineum,230,11.43,382,0.57,3,,25,Z,697.3633333,82.59405,2.953039051,0.222909286,0.248975486,0.303250193,UV-B
BORAGINACEAE,Heliotropium europaeum,Heliotropium_europaeum,15,14.9,,,3,A,2.75,R,556.624,399.5849527,1.337106193,0.039653791,0.265207517,0.14381853,B-G
BRASSICACEAE,Diplotaxis erucoides,Diplotaxis_erucoides,0,,112887,0.8,3,A,20,R,503.3162069,547.6621569,1.428241423,0.014416869,0.327854961,0.242098398,B-G
BRASSICACEAE,Diplotaxis virgata,diplotaxis_virgata,0,,64980,0.46,3,A,15,R,582.0283333,543.2350027,1.425999028,0.203955451,0.305078904,0.205035913,G-UV
BRASSICACEAE,Raphanus raphanistrum,Raphanus_raphanistrum,0,,97800,0.54,3,A,40,R,361.068,709.8011723,0.64268568,0.268388071,0.323617881,0.0898168,UV y UV-B
CAMPANULACEAE,Campanula erinus,Campanula_erinus,0.009,,3410,0.017,3,A,1.5,R,479.035,348.5167575,1.328535664,0.047528275,0.22358972,0.139375404,B-G
CAMPANULACEAE,Campanula lusitanica subsp. lusitania,campanula_lusitanicasubsp.lusitania,0.04,,80340,0.55,3,A,16,R,660.2964286,106.1247014,2.448275426,0.231456639,0.2345354,0.335844809,UV-B
CAMPANULACEAE,Campanula rapunculus,Campanula_rapunculus,200,,,,3,B,17,R,694.8533333,448.3884433,1.485098854,0.180217686,0.205478521,0.163513473,UV-B
CAPRIFOLIACEAE,Lonicera implexa,Lonicera_implexa,587,24.08,10185,1.04,2,P,35,Z,683.9533333,296.2241533,1.557500791,0.028079329,0.208569071,0.216436894,B-G
CARYOPHYLLACEAE,Silene colorata,silene_colorata,1016.83,31.31,14023,0.92,3,A,17,R,670.8433333,338.7144955,1.66710074,0.04976284,0.171890169,0.15407987,B
CISTACEAE,Cistus albidus,Cistus_albidus,302,78.92,233470,7.42,2,P,45,R,666.122,320.970102,1.842310755,0.047716384,0.122941198,0.176945929,B
CISTACEAE,Cistus crispus,Cistus_crispus,388,96.62,170164,3.3,2,P,32,R,695.0766667,287.45554,1.838356087,0.207270321,0.081619025,0.298332705,UV-B
CISTACEAE,Cistus ladanifer,Cistus_ladanifer,1702,90.3,564623,30.01,2,P,95,R,566.7083333,384.1840417,1.426201737,0.011603202,0.273707328,0.300157003,B-G
CISTACEAE,Cistus monspeliensis,Cistus_monspeliensis,476,103.3,33418,1.36,2,P,28,R,568.1833333,416.5361233,1.42940335,0.014887546,0.288453605,0.278924558,B-G
CISTACEAE,Cistus salviifolius,Cistus_salviifolius,420,105,57258,2.56,2,P,43,R,594.5916667,448.7112783,1.442024507,0.012917304,0.292210196,0.266198492,B-G
CISTACEAE,Halimium calycinum,halimium_calycinum,0,,24849,2.48,2,P,23,R,580.405,519.848045,1.20160199,0.220806762,0.294863591,0.150437608,UV
CISTACEAE,Halimium halimifolium,halimium_halimifolium,0,,44051,1.61,2,P,18,R,589.5133333,348.2735417,1.51962005,0.208012401,0.218951458,0.270622096,G-UV
CONVOLVULACEAE,Convolvulus althaeoides,Convolvulus_althaeoides,800,,,,2,P,35,R,652.7966667,517.2122933,1.538167969,0.066974582,0.251927553,0.111948254,B
CONVOLVULACEAE,Convolvulus arvensis,Convolvulus_arvensis,240.93,22.24,13700,1.23,3,P,21.5,R,487.1457143,630.7617867,1.407061227,0.018357827,0.346149122,0.196554381,B-G
CUCURBITACEAE,Bryonia dioica,bryonia_dioica,,,29435,1.51,3,P,9,R,551.99,470.85346,0.664964461,0.191490502,0.285711986,0.067336508,UV y UV-B
ERICACEAE,Erica arborea,Erica_arborea,46,10.79,,,2,P,2.75,R,516.8833333,395.2126133,1.223461842,0.060035594,0.265044406,0.10032192,B
ERICACEAE,Erica umbellata,erica_umbellata,36,14.35,5481,0.26,2,P,4.25,R,656.4066667,292.52502,1.898108775,0.053089101,0.093524068,0.177756679,B
FABACEAE,Anthyllis cytisoides,Anthyllis_cytisoides,122,17.61,3569,0.04,2,,11.5,R,587.1633333,318.1828667,1.332979449,0.148815446,0.217758702,0.154044865,G-UV
FABACEAE,Bituminaria bituminosa,Bituminaria_bituminosa,277,21.3,,,3,P,15,R,697.754,188.823728,2.437592199,0.04260985,0.026594337,0.21855531,B
FABACEAE,Coronilla juncea,Coronilla_juncea,0,,38280,0.07,2,P,7.25,Z,603.1133333,342.1084933,1.817847545,0.076579589,0.234037222,0.259538916,G-UV
FABACEAE,Cytisus grandiflorus,cytisus_grandiflorus,0,,72889,0.4,2,,20.5,Z,603.525,314.37618,1.761211458,0.110163028,0.202430678,0.254159453,G-UV
FABACEAE,Erophaca baetica,erophaca_baetica,3008,21.8,306300,0.78,3,P,31.5,Z,535.414,366.4186093,1.427736278,0.028968253,0.259794967,0.232833176,B-G
FABACEAE,Genista hirsuta,Genista_hirsuta,0,,4248,0.072,2,P,10.5,Z,604.69,379.51381,1.817120927,0.107031902,0.236189598,0.281403017,G-UV
FABACEAE,Genista triacanthos,genista_triacanthos,0,,3823,0.02,2,P,5.25,Z,603.12,330.7602467,1.983239117,0.071166095,0.220168145,0.348619618,G-UV
FABACEAE,Lupinus angustifolius,Lupinus_angustifolius,0,,22018,0.29,3,A,13,Z,451.6463333,232.2130597,1.51168102,0.076595414,0.118162219,0.158095497,B
FABACEAE,Lupinus luteus,Lupinus_luteus,0,,15075,0.23,3,A,13.5,Z,585.6927586,208.379119,2.34813343,0.008011524,0.146665317,0.522821833,G
FABACEAE,Ononis baetica,ononis_baetica,0,,49600,0.059,3,A,13.5,Z,695.40375,242.9710013,2.175300285,0.010130751,0.088857046,0.266980296,B-G
FABACEAE,Ononis pinnata,ononis_pinnata,0,,,,3,P,17,Z,692.9033333,267.7149233,2.272359434,0.047354378,0.063325306,0.16790328,B
FABACEAE,Ononis viscosa subsp. porrigens,ononis_viscosasubsp.porrigens,0,,,,3,A,12,Z,657.71375,353.5086475,1.653157246,0.121065321,0.227668467,0.245909182,G-UV
FABACEAE,Ornithopus sativus,Ornithopus_sativus,44,24.89,,,3,A,10,R,589.44,412.23868,1.636112865,0.027081037,0.228696387,0.199804304,B-G
FABACEAE,Retama sphaerocarpa,Retama_sphaerocarpa,0.009,,3448,0.002,2,P,6,Z,645.7125,194.8500125,1.759531417,0.044788684,0.121852809,0.238748265,G
FABACEAE,Scorpiurus sulcatus,Scorpiurus_sulcatus,1.65,20.56,44913,0.07,3,A,6.5,Z,627.08,321.740909,2.056596582,0.047716563,0.213829489,0.369305746,G
FABACEAE,Ulex eriocladus,ulex_eriocladus,0,,6830,0.078,2,P,,Z,595.54,262.3791433,1.852829233,0.057712617,0.182796082,0.211166785,G
FABACEAE,Vicia benghalensis,Vicia_benghalensis,100,,,,3,A,14,Z,696.875,107.119125,1.968740481,0.228103855,0.198794323,0.29858635,UV-B
FABACEAE,Vicia faba,Vicia_faba,161,22.6,,,3,A,28.5,Z,508.56,306.379705,1.324364123,0.031125254,0.22783109,0.203593423,B-G
FABACEAE,Vicia lutea,Vicia_lutea,0,,,,3,A,25,Z,584.8566667,299.6832567,1.632660691,0.006790239,0.225303999,0.365739619,B-G
FABACEAE,Vicia sativa,Vicia_sativa,0,,,,3,A,18.5,Z,466.54,31.12032,4.888421414,0.041318674,0.224112495,0.124253492,B
GENTIANACEAE,Blackstonia perfoliata,Blackstonia_perfoliata,0,,40853,0.22,3,A,14.5,R,579.744,243.029528,1.729578047,0.125505264,0.149235502,0.241830935,G-UV
GENTIANACEAE,Centaurium erythraea,Centaurium_erythraea,0,,117429,0.72,3,,12.5,R,699.8633333,253.65569,2.028951062,0.137295499,0.046803346,0.26452129,UV-B
GUTTIFERAE,Hypericum perforatum,Hypericum_perforatum,0,,,,3,P,25,R,636.075,410.96706,1.614740025,0.2095076,0.223298639,0.2961488,G-UV
LAMIACEAE,Lavandula stoechas,Lavandula_stoechas,205,19.47,3396,0.04,2,P,7.5,R,699.7566667,184.7081533,2.139313821,0.116682267,0.034153132,0.211244632,UV-B
LAMIACEAE,Mentha suaveolens,Mentha_suaveolens,0.009,,,,3,P,2.8,R,557.9316667,177.8326483,1.44184291,0.058126826,0.129352818,0.132724393,B y B-G
LAMIACEAE,Phlomis purpurea,Phlomis_purpurea,1939.01,38.2,46086,0.055,2,P,26.5,Z,625.636,372.964919,1.435400319,0.039217494,0.239102487,0.291458145,B-G
LAMIACEAE,Rosmarinus officinalis,Rosmarinus_officinalis,285,19.44,5492,0.14,2,P,10.75,Z,694.8566667,302.51838,1.473526135,0.052864837,0.191977333,0.137181835,B
LAMIACEAE,Salvia verbenaca,Salvia_verbenaca,170.05,18.9,4973,0.14,3,P,13.5,Z,695.5033333,160.2569073,2.114886087,0.07409342,0.051824446,0.184007469,B-G
LAMIACEAE,Stachys ocymastrum,Stachys_ocymastrum,311.6,22.14,36720,0.15,3,A,14.5,Z,562.2533333,413.3539547,1.489780964,0.022366069,0.291510338,0.271523236,B
LAMIACEAE,Teucrium capitatum,teucrium_capitatum,87,30.09,7792,0.06,2,,4.5,Z,491.89,418.7573633,1.313474907,0.031652038,0.284962839,0.175457024,B-G
LAMIACEAE,Teucrium fruticans,Teucrium_fruticans,656,21.48,10144,0.16,2,P,26.5,Z,692.6833333,329.6419433,1.740528803,0.053240212,0.172464924,0.147205539,B
LAMIACEAE,Thymus mastichina,Thymus_mastichina,19,15.59,2338,0.03,2,P,,Z,564.7966667,402.1131267,1.319653365,0.030751167,0.274834854,0.192138818,B-G
LILIACEAE,Allium roseum,allium_roseum,365,10.6,30960,0.67,3,P,21.5,R,666.87,335.7232,1.457649635,0.010122929,0.23682363,0.249995676,B-G
LILIACEAE,Asphodelus fistulosus,asphodelus_fistulosus,2.21,24,2488,0.61,3,,18,R,563.673,399.863137,1.402915217,0.027967843,0.419640359,0.168372075,B-G
LILIACEAE,Asphodelus ramosus,asphodelus_ramosus,1214,12.8,,,3,P,38,Z,544.965,331.18953,1.43710419,0.098444192,0.230917371,0.081131278,B
LILIACEAE,Dipcadi serotinum,Dipcadi_serotinum,35.6,17.43,4472,0.23,3,P,27,R,693.5043333,149.3942933,1.733893955,0.136056154,0.069785579,0.083748,UV-B
LILIACEAE,Ornithogalum baeticum,ornithogalum_baeticum,52.77,25,38288,1.99,3,P,36,R,490.2921739,474.918187,1.318108726,0.079364917,0.324277072,0.081330194,B
LILIACEAE,Scilla autumnalis,scilla_autumnalis,0,,,,3,P,9,R,698.6675,142.807995,1.875256353,0.037371515,0.029914912,0.217101138,B
LILIACEAE,Urginea maritima,urginea_maritima,85.3,29.04,60636,1.93,3,P,21,R,468.707,283.449457,1.288292359,0.080998529,0.396512708,0.102787466,B
MYRTACEAE,Myrtus communis,Myrtus_communis,0,,1330295,2.66,2,P,22,R,543.9866667,433.80036,1.405658663,0.020689544,0.291089801,0.202770899,BG
ORCHIDACEAE,Serapias parviflora,serapias_parviflora,166,11.3,119,,3,,18,Z,699.97,125.93208,1.875522424,0.167646878,0.076130097,0.153873054,UV-B
PAPAVERACEAE,Papaver rhoeas,Papaver_rhoeas,0,,,13.3,3,A,60,R,666.7563636,214.4005336,2.597987667,0.208667614,0.153279695,0.34417304,UV
PRIMULACEAE,Anagallis arvensis,Anagallis_arvensis,0,,10913,0.05,3,A,10.63,R,669.235,244.8167275,1.906672191,0.216168873,0.038430492,0.262947397,UV
PRIMULACEAE,Anagallis monelli,Anagallis_monelli,0,,80920,0.22,3,P,15.5,R,487.1933333,191.5283,2.035132262,0.339504126,0.07025436,0.361617553,UV-B
RANUNCULACEAE,Clematis flammula,clematis_flammula,0,,239444,1.1,3,P,22,R,540.5866667,594.5641233,1.353839272,0.024968867,0.337602572,0.169121525,B-G
RANUNCULACEAE,Ranunculus muricatus,Ranunculus_muricatus,,,11120,0.38,3,A,12.5,R,588.2077778,437.5429644,1.720070253,0.153085328,0.262947223,0.377481673,G-UV
RANUNCULACEAE,Ranunculus paludosus,Ranunculus_paludosus,,,284715,3.98,3,P,22.5,R,610.2033333,355.5828733,2.120078349,0.074856272,0.233386436,0.537189142,G-UV
RHAMNACEAE,Rhamnus lycioides,Rhamnus_lycioides,0,,20668,0.06,2,P,4,R,545.8266667,113.4583,1.90783518,0.102017004,0.039108858,0.115459474,G
ROSACEAE,Crataegus monogyna,Crataegus_monogyna,98,14.05,24141,0.067,2,P,13,R,475.635,574.688055,1.391179565,0.021718988,0.338346011,0.207523718,B-G
ROSACEAE,Rubus ulmifolius,Rubus_ulmifolius,173,17.68,641366,3.21,2,P,23,R,695.5166667,417.81329,1.516952074,0.035241895,0.248658874,0.152144971,B
SCROPHULARIACEAE,Bartsia trixago,Bartsia_trixago,0,,34865,0.48,3,A,21,Z,525.343,512.80441,1.41766439,0.017677322,0.319334774,0.237476147,B-G
SCROPHULARIACEAE,Linaria viscosa,linaria_viscosa,154.64,18.66,207080,0.25,3,A,27,Z,581.7726316,346.3775889,1.924152748,0.027999833,0.259477676,0.367547187,G
SCROPHULARIACEAE,Misopates orontium,Misopates_orontium,67.68,21.92,51534,0.23,3,A,15.5,Z,697.877,135.1454263,2.09510987,0.034264618,0.088084045,0.189762628,B
SCROPHULARIACEAE,Parentucellia viscosa,Parentucellia_viscosa,0.49,25.5,27336,0.38,3,A,20,Z,579.248,388.511517,1.970028553,0.012280748,0.281315384,0.463353305,G
SCROPHULARIACEAE,Scrophularia frutescens,scrophularia_frutescens,106,12.59,22984,0.14,2,,4.5,Z,699.97,130.58353,3.970849718,0.140760538,0.184486825,0.210746601,UV-B
SOLANACEAE,Solanum nigrum,Solanum_nigrum,,,55775,0.5,3,A,6.5,R,545.832,362.673032,1.275338505,0.037571682,0.245481554,0.173018539,B-G
TAMARIACEAE,Tamarix gallica,Tamarix_gallica,0.009,,9570,0.04,2,P,3.8,R,604.55,146.21619,1.319647169,0.042630574,0.089570534,0.18088261,B
THYMELACEAE,Daphne gnidium,Daphne_gnidium,25,29.59,3276,0.02,2,P,5.5,R,544.3316667,250.7650642,1.497187321,0.046120491,0.175509823,0.171830873,B-G
VALERIANACEAE,Fedia cornucopiae,Fedia_cornucopiae,0.009,,2303,0.14,3,A,12,Z,692.13,262.9423367,1.582225555,0.077434508,0.09756239,0.1581167,B
VERBENACEAE,Verbena officinalis,Verbena_officinalis,,,2268,0.017,3,P,5.5,Z,698.3433333,217.20802,1.715002635,0.043013377,0.102227796,0.186720325,B
