1.FAMILIA,2.Especie,3.Nrecolecci¢n,4.Datos,5.M/F/H,6.AzucarX,7.AzucarE.S.,8.Azucarn,9.PolenX,10.PolenE.S.,11.Polenn,12.Volumenpolen/flor(mm3),13.Porte,14.A/P/B,15.TamanofloralMin,16.TamanofloralMax,17.TamanofloralX,18AltitudMin,19.AltitudMax,20.AltitudX,21.FloracionInicio,22.FloracionFinal,23.FloracionDuraci¢n,24.Simetria,25.Soldadura,26.Raverage,27.Hue,28.Brightness,29.Chroma,30.UVChroma,31.MeanAbsGC,32.Dist.0,33.N,34.Zona medida
BORAGINACEAE,Echium albicans,,LA/PF,,1100,,2,219000,,1,0.26,3,P,16,28,22,200,2000,1100,4,10,6,Z,SI,0.138332451,698.472,158.943986,1.964154753,0.195719982,0.088309021,0.256484217,5,1
BORAGINACEAE,Echium gaditanum,189/18,PO,,218,41,31,194825,7975,10,0.18,3,AB,12,20,16,0,100,50,4,7,3,Z,SI,0.176221587,699.21,202.4786033,1.449854813,0.240931585,0.001039634,0.280768907,3,1
BORAGINACEAE,Echium plantagineum,34/18,PO,,230,43,18,382,10782,10,0.57,3,A/B,20,30,25,0,1200,600,2,6,4,Z,SI,0.07188342,697.3633333,82.59405,2.953039051,0.222909286,0.248975486,0.303250193,3,1
BORAGINACEAE,Heliotropium europaeum,,PO/DA,,15,6,11,,,,,3,A,2,3.5,2.75,0,1750,875,3,11,8,R,SI,0.347767583,556.624,399.5849527,1.337106193,0.039653791,0.265207517,0.14381853,30,1
BRASSICACEAE,Diplotaxis erucoides,,DA,,0,,30,112887,24074.74,10,0.8,3,A,14,26,20,0,1500,750,12,7,5,R,NO,0.476642434,503.3162069,547.6621569,1.428241423,0.014416869,0.327854961,0.242098398,29,1
BRASSICACEAE,Diplotaxis virgata,,DA,,0,,30,64980,13604.73,10,0.46,3,A,10,20,15,0,100,50,1,7,6,R,NO,0.472789384,582.0283333,543.2350027,1.425999028,0.203955451,0.305078904,0.205035913,30,1
BRASSICACEAE,Malcolmia littorea,61/18 y 122/18,PF/LA,,100,,5,99160,15556.35,2,0.62,3,P,30,36,33,0,600,300,2,6,4,R,NO,0.334149551,691.8127273,383.9378345,2.252990702,0.030662255,0.149627026,0.193310172,11,1
BRASSICACEAE,Moricandia moricandioides,14/18,PF,,260.1,326.8,17,343520,62319.36,10,1.8,3,P,44,50,47,300,700,500,3,6,3,R,NO,0.208663168,691.4326667,239.7539797,2.455229566,0.132849187,0.094924631,0.268245495,30,1
BRASSICACEAE,Raphanus raphanistrum,,PF,,0,,23,97800,22488.22,10,0.54,3,A,30,50,40,0,1500,750,3,6,3,R,NO,0.617755589,361.068,709.8011723,0.64268568,0.268388071,0.323617881,0.0898168,30,1
CAMPANULACEAE,Campanula erinus,,PO/LA,,0.009,,,3410,321,3,0.017,3,A,1,2,1.5,0,1680,840,3,5,2,R,SI,0.303321808,479.035,348.5167575,1.328535664,0.047528275,0.22358972,0.139375404,4,1
CAMPANULACEAE,Campanula herminii,,DA,,21.95,36.33,23,,x,x,,3,P,13,26,19.5,600,3000,1800,6,9,3,R,SI,0.102750782,662.2673333,118.060649,2.32552621,0.134190265,0.155988379,0.297662189,30,1
CAMPANULACEAE,Campanula lusitanica lusitania,,DA/JA,,0.04,0.004,29,80340,6890.8,10,0.55,3,A,9,23,16,0,1200,600,4,7,3,R,SI,0.092362664,660.2964286,106.1247014,2.448275426,0.231456639,0.2345354,0.335844809,13,1
CAMPANULACEAE,Campanula rapunculus,140/18,LA/PF,,200,,2,,,,,3,B,13,21,17,0,2100,1050,3,7,4,R,SI,0.390242335,694.8533333,448.3884433,1.485098854,0.180217686,0.205478521,0.163513473,3,1
CAPRIFOLIACEAE,Lonicera implexa,107/18,PO,,587,124,12,10185,758,10,1.04,2,P,23,47,35,0,900,450,3,6,3,Z,SI,0.257810403,683.9533333,296.2241533,1.557500791,0.028079329,0.208569071,0.216436894,3,1
CARYOPHYLLACEAE,Dianthus sp,,DA,,302.35,276.09,3,,,,,3,,,,,NA,,NA,,,0,R,SI,0.246330821,685.584,283.034113,2.124994936,0.052179828,0.08405075,0.190061763,10,1
CARYOPHYLLACEAE,Silene colorata,,DA,,1016.83,739.22,29,14023,1231.33,10,0.92,3,A,10,24,17,0,1700,850,1,6,5,R,SI,0.294790684,670.8433333,338.7144955,1.66710074,0.04976284,0.171890169,0.15407987,30,1
CARYOPHYLLACEAE,Silene vulgaris,,DA,,84.4,82.52,20,21953,5775,-,2.13,3,P,10,20,15,0,2650,1325,2,7,5,R,SI,0.207690032,570.458,238.6358463,1.454559875,0.039618841,0.155881786,0.185523606,30,1
CISTACEAE,Cistus albidus,102/18,PO,,302,46,16,233470,13442,10,7.42,2,P,40,50,45,0,1400,700,2,6,4,R,NO,0.279347347,666.122,320.970102,1.842310755,0.047716384,0.122941198,0.176945929,5,1
CISTACEAE,Cistus crispus,,PO,,388,115,12,170164,11244,10,3.3,2,P,24,40,32,0,900,450,3,6,3,R,NO,0.250178886,695.0766667,287.45554,1.838356087,0.207270321,0.081619025,0.298332705,3,1
CISTACEAE,Cistus sp,194/18,PO,,522,204,10,359704,12397,10,,2,P,,,NA,,,NA,,,0,R,NO,0.2150185,692.0333333,247.0562567,1.812224633,0.140519301,0.025942678,0.231427938,3,1
CISTACEAE,Cistus ladanifer,,PO,,1702,538,5,564623,41557,10,30.01,2,P,80,110,95,0,1500,750,3,6,3,R,NO,0.334363831,566.7083333,384.1840417,1.426201737,0.011603202,0.273707328,0.300157003,6,1
CISTACEAE,Cistus monspeliensis,,PO,,476,186,10,33418,3105,10,1.36,2,P,24,32,28,0,1200,600,3,6,3,R,NO,0.36252056,568.1833333,416.5361233,1.42940335,0.014887546,0.288453605,0.278924558,3,1
CISTACEAE,Cistus salviifolius,113/18,PO,,420,182,9,57258,4683,10,2.56,2,P,36,50,43,0,1100,550,3,6,3,R,NO,0.390523306,594.5916667,448.7112783,1.442024507,0.012917304,0.292210196,0.266198492,6,1
CISTACEAE,Halimium calycinum,,PO,,0,,,24849,2893,10,2.48,2,P,20,26,23,0,650,325,1,7,6,R,NO,0.4524352,580.405,519.848045,1.20160199,0.220806762,0.294863591,0.150437608,4,1
CISTACEAE,Halimium halimifolium,"115/18, 179/18",PO,,0,,,44051,2235,10,1.61,2,P,16,20,18,0,1200,600,3,8,5,R,NO,0.303110132,589.5133333,348.2735417,1.51962005,0.208012401,0.218951458,0.270622096,6,1
CONVOLVULACEAE,Convolvulus althaeoides,,LA,,800,,15,,,,,2,P,30,40,35,0,1500,750,5,7,2,R,SI,0.450141247,652.7966667,517.2122933,1.538167969,0.066974582,0.251927553,0.111948254,6,1
CONVOLVULACEAE,Convolvulus arvensis,,DA,,240.93,152.38,16,13700,2177.28,10,1.23,3,P,18,25,21.5,0,2500,1250,4,9,5,R,SI,0.548965872,487.1457143,630.7617867,1.407061227,0.018357827,0.346149122,0.196554381,21,1
CONVOLVULACEAE,Convolvulus meonanthus,,DA,,70.65,117.76,30,44465,903.71,10,3.71,3,A,15,20,17.5,30,1400,715,4,6,2,R,SI,0.125752382,674.1216667,144.489487,2.928683302,0.06688298,0.216647953,0.213820064,30,1
CRASSULACEAE,Sedum amplexicaule,161/18,PF,,,,,261803,14541.65,2,0.84,3,P,12,18,15,100,2000,1050,4,7,3,R,NO,0.23507134,579.1566667,270.09697,1.522494261,0.182860821,0.160928107,0.277483715,3,1
CUCURBITACEAE,Bryonia dioica,,PF,,,,,29435,4419.42,2,1.51,3,P,7,11,9,0,1200,600,2,7,5,R,NO,0.409794134,551.99,470.85346,0.664964461,0.191490502,0.285711986,0.067336508,3,1
DIPSACACEAE,Scabiosa atropurpurea,132/18,PF/H,,976,,30,,,,,3,P,9,21,15,1,2500,1250.5,4,10,6,R,SI,0.304765014,660.2885714,350.1750014,1.744845587,0.033719291,0.209089665,0.201281818,7,1
ERICACEAE,Erica arborea,13/18,PO,,46,11,11,,,,,2,P,2.5,3,2.75,0,2000,1000,2,4,2,R,SI,0.34396224,516.8833333,395.2126133,1.223461842,0.060035594,0.265044406,0.10032192,3,1
ERICACEAE,Erica australis,,LA/PF,,400,,27,10080,,1,,2,P,7.5,8.5,8,0,2000,1000,12,4,8,R,SI,0.276846736,583.5266667,318.0969,1.392691331,0.053221121,0.179305984,0.139325771,3,1
ERICACEAE,Erica umbellata,33/18,PO,,36,9,23,5481,487,10,0.26,2,P,3.5,5,4.25,0,1500,750,4,6,2,R,SI,0.254590966,656.4066667,292.52502,1.898108775,0.053089101,0.093524068,0.177756679,3,1
FABACEAE,Anthyllis cytisoides,183/18,PO,,122,22,22,3569,180,10,0.04,2,-,10,13,11.5,0,1300,650,4,6,2,R,NO,0.276921555,587.1633333,318.1828667,1.332979449,0.148815446,0.217758702,0.154044865,3,1
FABACEAE,Astragalus hamosus,,PF,,4.15,8.16,27,4480,825.61,10,0.054,3,A,6,11,8.5,0,1700,850,4,5,1,Z,NO,0.213950775,569.1061538,245.8294404,1.729197998,0.014435723,0.195247385,0.331950842,26,1
FABACEAE,Bituminaria bituminosa,,LA/PF,,300,,28,,,,,3,P,13,17,15,0,1250,625,3,7,4,R,NO,0.164337448,697.754,188.823728,2.437592199,0.04260985,0.026594337,0.21855531,5,1
FABACEAE,Calicotome villosa,,LA,,0,,,,,,,2,-,12,15,13.5,0,1000,500,3,5,2,Z,NO,0.285434565,606.83,327.964315,1.931117934,0.053320982,0.23333603,0.359067876,2,1
FABACEAE,Coronilla glauca,84/18,LA,,0,,,,,,,3,A,9,13,11,0,1300,650,1,6,5,Z,NO,0.202235313,608.68,232.368375,1.789236486,0.074316706,0.151322616,0.264086713,2,1
FABACEAE,Coronilla juncea,84/18B,PO,,0,,,38280,1485,10,0.07,2,P,6,8.5,7.25,0,1100,550,3,7,4,Z,NO,0.297744555,603.1133333,342.1084933,1.817847545,0.076579589,0.234037222,0.259538916,3,1
FABACEAE,Cytisus grandiflorus,,PO,,0,,,72889,6481,10,0.4,2,-,19,22,20.5,0,1600,800,5,6,1,Z,NO,0.273608512,603.525,314.37618,1.761211458,0.110163028,0.202430678,0.254159453,4,1
FABACEAE,Erophaca baetica,,PO/PF/LA,,3008,744,15,306300,27816,12,0.78,3,P,25,38,31.5,0,1000?,0,1,5,4,Z,NO,0.318902184,535.414,366.4186093,1.427736278,0.028968253,0.259794967,0.232833176,30,1
FABACEAE,Genista hirsuta,75/18B,PO,,0,,,4248,361,10,0.072,2,P,8,13,10.5,0,1450,725,4,6,2,Z,NO,0.330299225,604.69,379.51381,1.817120927,0.107031902,0.236189598,0.281403017,3,1
FABACEAE,Genista triacanthos,26/18,PO,,0,,,3823,314,10,0.02,2,P,4.5,6,5.25,0,1300,650,4,6,2,Z,NO,0.287867926,603.12,330.7602467,1.983239117,0.071166095,0.220168145,0.348619618,3,1
FABACEAE,Hedysarum coronarium,,LA/PF,,100,,3,,,,,3,A,14,40,27,50,250,150,4,5,1,Z,NO,0.158601671,672.925,182.23332,2.291716447,0.097474388,0.09919334,0.198015468,2,1
FABACEAE,Lathyrus clymenum,"85/18, 147/18",LA,,1100,,2,,,,,3,A,12,22,17,0,1500,750,3,7,4,Z,NO,0.11411361,699.645,131.1165383,2.835375315,0.121298976,0.165618283,0.223103844,6,1
FABACEAE,Lathyrus tingitanus,153/18,LA/PF,,1100,,2,,,,,3,A,25,35,30,250,850,550,5,7,2,Z,NO,0.137319984,697.952,157.780662,2.944685946,0.213292543,0.215346487,0.388372008,5,1
FABACEAE,Lupinus angustifolius,19/18,PF/DA,,0,,30,22018,4683.83,10,0.29,3,A,12,14,13,0,1500,750,2,5,3,Z,NO,0.202100139,451.6463333,232.2130597,1.51168102,0.076595414,0.118162219,0.158095497,30,1
FABACEAE,Lupinus hispanicus,,DA,,0,,30,17317,2134.43,4,0.26,3,A,12,14,13,600,1600,1100,2,5,3,Z,NO,0.222300152,661.005,255.4228748,2.018950726,0.037247729,0.119959984,0.207981785,30,1
FABACEAE,Lupinus luteus,35/18,PF,,0,,x,15075,3075.91,2,0.23,3,A,12,15,13.5,0,1100,550,3,5,2,Z,NO,0.181356936,585.6927586,208.379119,2.34813343,0.008011524,0.146665317,0.522821833,29,1
FABACEAE,Ononis baetica,184/18,PO,,0,,,49600,14129.18,5,0.059,3,A,10,17,13.5,0,50,25,5,7,2,Z,NO,0.211463012,695.40375,242.9710013,2.175300285,0.010130751,0.088857046,0.266980296,8,1
FABACEAE,Ononis pinnata,178/18,PO,,0,,,,,,,3,P,14,20,17,0,1000,500,5,10,5,Z,NO,0.232998193,692.9033333,267.7149233,2.272359434,0.047354378,0.063325306,0.16790328,3,1
FABACEAE,Ononis viscosa,,PF/H,,0,,7,,,,,3,A,8,16,12,0,800,400,3,7,4,Z,NO,0.317773534,699.97,365.12179,1.711061315,0.147788906,0.242342581,0.340906757,1,1
FABACEAE,Ononis viscosa porrigens,182/18,PF,,0,,,,,,,3,A,9,15,12,0,800,400,5,7,2,Z,NO,0.30766636,657.71375,353.5086475,1.653157246,0.121065321,0.227668467,0.245909182,8,1
FABACEAE,Ornithopus sativus,20/18,PO/DA,,44,9,8,,,,,3,A,8,12,10,0,800,400,3,5,2,R,NO,0.3587804,589.44,412.23868,1.636112865,0.027081037,0.228696387,0.199804304,3,1
FABACEAE,Retama monosperma,,LA,,0.009,,,7140,1033,5,0.038,2,P,9,13,11,0,300,150,1,4,3,Z,NO,0.366452747,588.46,421.0542067,1.301102582,0.027407538,0.280615293,0.177405004,3,1
FABACEAE,Retama sphaerocarpa,137/18,PO,,0.009,,,3448,108,10,0.002,2,P,4,8,6,0,1400,700,4,7,3,Z,NO,0.169582256,645.7125,194.8500125,1.759531417,0.044788684,0.121852809,0.238748265,4,1
FABACEAE,Scorpiurus sulcatus,,PF,,1.52,3.81,21,44913,4436.84,8,0.07,3,A,5,8,6.5,0,800,400,4,6,2,Z,NO,0.280018198,627.08,321.740909,2.056596582,0.047716563,0.213829489,0.369305746,10,1
FABACEAE,Spartium junceum,,LA/PF,,0,,,,,,,2,-,20,30,25,400,1000,700,4,7,3,Z,NO,0.364407488,595.43,418.7042033,1.764643609,0.10984833,0.270436302,0.296594496,3,1
FABACEAE,Ulex eriocladus,9/18,PO,,0,,,6830,230,10,0.078,2,P,-,-,NA,100,500,300,11,3,8,Z,NO,0.228354346,595.54,262.3791433,1.852829233,0.057712617,0.182796082,0.211166785,3,1
FABACEAE,Vicia benghalensis,,LA,,100,,2,,,,,3,A,10,18,14,0,600,300,4,6,2,Z,NO,0.093228133,696.875,107.119125,1.968740481,0.228103855,0.198794323,0.29858635,2,1
FABACEAE,Vicia faba,,PO,,161,66,10,,,,,3,A,48,66,57,0,750,375,2,5,7,Z,NO,0.266649003,508.56,306.379705,1.324364123,0.031125254,0.22783109,0.203593423,2,1
FABACEAE,Vicia lutea,163/18,LA,,0,,,,,,,3,A,20,30,25,0,1700,850,3,5,2,Z,NO,0.260820937,584.8566667,299.6832567,1.632660691,0.006790239,0.225303999,0.365739619,3,1
FABACEAE,Vicia sativa,,LA/PF,,0,,,,,,,3,A,10,27,18.5,0,1000,500,3,6,3,Z,NO,0.0270847,466.54,31.12032,4.888421414,0.041318674,0.224112495,0.124253492,2,1
GENTIANACEAE,Blackstonia perfoliata,186/18,PF,,0,,,40853,13600.22,5,0.22,3,A,12,17,14.5,0,1600,800,4,11,7,R,SI,0.21151395,579.744,243.029528,1.729578047,0.125505264,0.149235502,0.241830935,10,1
GENTIANACEAE,Centaurium erythraea," 68/18, 195/18",PF,,0,,,117429,20764.89,10,0.72,3,A/B,6,19,12.5,0,1500,750,4,11,7,R,SI,0.220762132,699.8633333,253.65569,2.028951062,0.137295499,0.046803346,0.26452129,9,1
GENTIANACEAE,Gentiana sierrae,,DA,,175.96,163.08,26,,,,,3,P,22,40,31,2100,3160,2630,5,10,1,R,SI,0.097072318,643.9728571,111.5360932,2.290970481,0.159397177,0.114817459,0.289400668,28,1
GUTTIFERAE,Hypericum perfoliatum,131/18,PF,,,,,572340,209925.86,2,1.42,3,P,16,24,20,0,1000,500,5,7,2,R,NO,0.290293432,602.0733333,333.5471533,1.733132295,0.153451506,0.200872411,0.288406196,3,1
GUTTIFERAE,Hypericum perforatum,,PO,,0,,,,,,,3,P,20,30,25,0,1900,950,5,9,4,R,NO,0.357673681,636.075,410.96706,1.614740025,0.2095076,0.223298639,0.2961488,2,1
IRIDACEAE,Gladiolus communis,,PF,,,,,28080,3775.95,2,2.78,3,P,16,22,19,50,1500,775,4,9,5,Z,NO,0.390996789,684.95,449.25531,1.19627581,0.227192796,0.17913525,0.187682309,1,Petalo rosa
LAMIACEAE,Calamintha nepeta,,LA,,30,,10,,,,,3,P,8,12,10,0,1700,850,9,12,3,Z,SI,0.293732689,696.71,337.49886,1.546950081,0.039926778,0.207700865,0.156984607,2,1
LAMIACEAE,Lavandula stoechas,,PO,,205,16,32,3396,166,10,0.04,2,P,6,9,7.5,0,1700,850,1,11,10,R,SI,0.160755573,699.7566667,184.7081533,2.139313821,0.116682267,0.034153132,0.211244632,3,Bracteas
LAMIACEAE,Mentha suaveolens,,PO/DA,,0.009,,,,,,,3,P,2.3,3.3,2.8,5,1640,822.5,7,9,2,R,SI,0.15477167,557.9316667,177.8326483,1.44184291,0.058126826,0.129352818,0.132724393,12,1
LAMIACEAE,Micromeria graeca,,LA,,0.009,,,,,,,2,P,5,7,6,10,1420,715,2,7,5,Z,SI,0.286116153,673.57,328.74746,1.660113067,0.050167518,0.179625523,0.151132656,2,1
LAMIACEAE,Phlomis lychnitis,110/18,PF,,1382.54,863.05,27,66060,5238.86,10,0.75,2,P,23,28,25.5,20,2000,1010,3,6,3,Z,SI,0.270249234,574.953,310.51637,2.059523469,0.036314136,0.230692609,0.256960138,10,1
LAMIACEAE,Phlomis purpurea,"69/18, 109/18",PF,,1939.01,876.6,30,46086,8288.23,10,0.055,2,P,25,28,26.5,20,1000,510,3,6,3,Z,SI,0.324599581,625.636,372.964919,1.435400319,0.039217494,0.239102487,0.291458145,10,1
LAMIACEAE,Rosmarinus officinalis,,PO,,285,35,50,5492,135,10,0.14,2,P,8.5,13,10.75,0,1600,800,9,5,4,Z,SI,0.263288407,694.8566667,302.51838,1.473526135,0.052864837,0.191977333,0.137181835,3,1
LAMIACEAE,Salvia verbenaca,,PF/DA,,170.05,142.63,30,4973,8686.08,10,0.14,3,P,10,17,13.5,0,1750,875,2,6,4,Z,SI,0.139475115,695.5033333,160.2569073,2.114886087,0.07409342,0.051824446,0.184007469,30,
LAMIACEAE,Salvia viridis,,LA,,100,,3,,,,,3,A,10,14,12,0,500,250,3,5,2,Z,SI,0.272085431,686.095,312.62616,1.840562152,0.02306534,0.171614882,0.218651446,2,1
LAMIACEAE,Stachys ocymastrum,,DA,,311.6,169.27,29,36720,6263.49,10,0.15,3,A,13,16,14.5,0,1000,500,3,6,3,Z,SI,0.359751048,562.2533333,413.3539547,1.489780964,0.022366069,0.291510338,0.271523236,30,
LAMIACEAE,Teucrium capitatum,176/18,PO,,87,15,12,7792,338,10,0.06,2,-,3,6,4.5,0,1800,900,2,11,9,Z,SI,0.364453754,491.89,418.7573633,1.313474907,0.031652038,0.284962839,0.175457024,3,1
LAMIACEAE,Teucrium fruticans,6/18,PO,,656,61,29,10144,485,10,0.16,2,P,23,30,26.5,0,1200,600,2,6,4,Z,SI,0.286894642,692.6833333,329.6419433,1.740528803,0.053240212,0.172464924,0.147205539,3,1
LAMIACEAE,Teucrium pseudochamaepitys,103/18,LA,,0.009,,,,,,,2,-,10,23,16.5,0,1500,750,4,6,2,Z,SI,0.42420828,535.9266667,487.4153133,1.313120597,0.035053256,0.296645203,0.153759572,3,1
LAMIACEAE,Thymus mastichina,,PO,H,19,7,10,2338,86,10,0.03,2,P,-,-,NA,10,1800,905,4,6,2,Z,SI,0.349967908,564.7966667,402.1131267,1.319653365,0.030751167,0.274834854,0.192138818,3,1
LILIACEAE,Allium roseum,,PF,,365,?,15,30960,3648.67,2,0.67,3,P,18,25,21.5,0,1350,675,4,5,1,R,NO,0.292187293,666.87,335.7232,1.457649635,0.010122929,0.23682363,0.249995676,2,1
LILIACEAE,Allium triquetrum,,PF/LA,,0.4,,7,,,,,3,P,20,30,25,0,850,425,3,5,2,R,NO,0.337387647,449.4266667,387.6584067,1.172293846,0.064492551,0.261509563,0.100723093,3,1
LILIACEAE,Asphodelus albus,,LA,,1.4,,15,,,,,3,P,34,46,40,0,2400,1200,2,6,4,R,NO,0.382780447,413.2566667,439.8147333,1.23400111,0.111943802,0.274656032,0.072902349,3,1
LILIACEAE,Asphodelus fistulosus,43/18,PF,,2.21,4.92,15,2488,699.66,8,0.61,3,P/B,16,20,18,0,900,450,1,6,5,R,NO,0.348009693,563.673,399.863137,1.402915217,0.027967843,0.419640359,0.168372075,10,1
LILIACEAE,Asphodelus ramosus,,LA/MB,,1,,20,,,,,3,P,32,44,38,0,1400,700,2,6,4,Z,NO,0.28824154,544.965,331.18953,1.43710419,0.098444192,0.230917371,0.081131278,2,1
LILIACEAE,Dipcadi serotinum,4/18,PF,,35.6,66.64,29,4472,892,9,0.23,3,P,24,30,27,0,1900,950,2,5,3,R,SI,0.130021143,693.5043333,149.3942933,1.733893955,0.136056154,0.069785579,0.083748,30,1
LILIACEAE,Ornithogalum baeticum,73/18,PF,,55.31,82.66,16,38288,9481.76,8,1.99,3,P,30,42,36,0,1600,800,2,5,3,R,NO,0.413331755,490.2921739,474.918187,1.318108726,0.079364917,0.324277072,0.081330194,23,1
LILIACEAE,Scilla autumnalis,225/18,H/PF,,0,,15,,,,,3,P,8,10,9,0,1300,650,10,11,1,R,SI,0.124288943,698.6675,142.807995,1.875256353,0.037371515,0.029914912,0.217101138,4,1
LILIACEAE,Scilla peruviana,,PF/LA,,0.2,,13,,,,,3,P,18,22,20,5,1100,552.5,3,5,2,R,SI,0.298191178,389.6566667,342.6216633,1.747407214,0.202364544,0.138318744,0.220605855,3,1
LILIACEAE,Urginea maritima,206/18,PF,,90.28,173.88,23,60636,6740.24,8,1.93,3,P,18,24,21,0,1000,500,9,10,1,R,NO,0.246692304,468.707,283.449457,1.288292359,0.080998529,0.396512708,0.102787466,10,1
LINACEAE,Linum usitatissimum,,PF,,,,,3560,282.84,2,0.27,3,A,22,42,32,0,1400,700,2,4,2,R,NO,0.285633033,699.97,328.192355,1.639217884,0.106023903,0.177013506,0.141566834,2,1
MALVACEAE,Lavatera trimestris,,PF,,,,,5004,991.36,2,7.39,3,A,60,110,85,30,900,465,4,7,3,R,SI,0.517728272,529.57,594.869785,1.388857717,0.094809605,0.298898747,0.07872021,2,1
MYRTACEAE,Myrtus communis,177/18,PO,,0,,,1330295,83447,10,2.66,2,P,14,30,22,0,1000,500,5,7,2,R,NO,0.377546005,543.9866667,433.80036,1.405658663,0.020689544,0.291089801,0.202770899,3,1
ORCHIDACEAE,Serapias parviflora,,PF/H,,166,,20,119,0,1,,3,-,14,22,18,0,1100,550,3,5,2,Z,SI,0.109601462,699.97,125.93208,1.875522424,0.167646878,0.076130097,0.153873054,1,1
PAPAVERACEAE,Papaver hybridum,121/18bis,PF,,,,,111178,19724.74,2,0.62,3,A,20,30,25,0,2000,1000,3,5,2,R,NO,0.118625727,696.82,136.30096,2.782018315,0.226461521,0.244630159,0.362174498,3,1
PLUMBAGINACEAE,Limoniastrum monopetalum,40/18,LA/PF,,0,,,1808,,1,,2,-,15,25,20,0,100,50,4,11,7,R,SI,0.208387124,693.605,239.436805,2.025061732,0.041580669,0.050053979,0.210534138,2,1
PRIMULACEAE,Anagallis monelli,,PO,,0,,,80920,46000,10,0.22,3,P,10,21,15.5,0,1450,725,3,6,3,R,NO,0.166691297,487.1933333,191.5283,2.035132262,0.339504126,0.07025436,0.361617553,12,1
RANUNCULACEAE,Clematis flammula,179/18B,PO,,0,,,239444,14108,10,1.1,-,P,18,26,22,0,1300,650,6,9,3,R,NO,0.517462248,540.5866667,594.5641233,1.353839272,0.024968867,0.337602572,0.169121525,3,1
