1.FAM;2.SP;2.Especies2;3.MSUG;4.CSUG;5.NPOL;6.VPOL;7.POR;8.AN;9.SIZ;10.SIM;11.SOLD;12.HUE;13.BRI;14.CHR;15.UV;16.GC;17.DIST;18.CAT;19.COLOR;20.COROLA;Floral display;FdSize
Fabaceae;Genista hirsuta;Genista_hirsuta;0;;4248;0.072;2;P;10.5;Z;NO;604.69;379.51381;1.817120927;0.107031902;0.236189598;0.281403017;G-UV;yellow;Papilionada;1608;16884
Fabaceae;Genista triacanthos;Genista_triacanthos;0;;3823;0.02;2;P;5.25;Z;NO;603.12;330.7602467;1.983239117;0.071166095;0.220168145;0.348619618;G-UV;yellow;Papilionada;7783;486.75
Cistaceae;Halimium calycinum;Halimium_calycinum;0;;24849;2.48;2;P;23;R;NO;580.405;519.848045;1.20160199;0.220806762;0.294863591;0.150437608;UV;yellow;Radiada;152;3496
Cistaceae;Halimium halimifolium;Halimium_halimifolium;0;;44051;1.61;2;P;18;R;NO;589.5133333;348.2735417;1.51962005;0.208012401;0.218951458;0.270622096;G-UV;yellow;Radiada;136;2448
Boraginaceae;Heliotropium europaeum;Heliotropium_europaeum;15;14.9;;;3;A;2.75;R;SI;556.624;399.5849527;1.337106193;0.039653791;0.265207517;0.14381853;B-G;white;Infundibuliforme;;
Hypericaceae;Hypericum perforatum;Hypericum_perforatum;0;;;;3;P;25;R;NO;636.075;410.96706;1.614740025;0.2095076;0.223298639;0.2961488;G-UV;yellow;Radiada;;
Lamiaceae;Lavandula stoechas;Lavandula_stoechas;205;19.47;3396;0.04;2;P;7.5;R;SI;699.7566667;184.7081533;2.139313821;0.116682267;0.034153132;0.211244632;UV-B;purple;Infundibuliforme;725;5437.5
Amaryllidaceae;Leucojum autumnale;Leucojum_autumnale;0;;;;3;P;19;R;SI;522.066;485.536874;1.258021166;0.056670301;0.297420699;0.099204821;B;white;Campanulada;;
Amaryllidaceae;Leucojum trichophyllum;Leucojum_trichophyllum;0;;119083;0.249589824;3;P;30;R;SI;510.6785714;519.932449;1.347127887;0.029038594;0.366134192;0.15840156;B-G;white;Campanulada;;
Plantaginaceae;Linaria viscosa;Linaria_viscosa;154.64;18.66;207080;0.25;3;A;27;Z;SI;581.7726316;346.3775889;1.924152748;0.027999833;0.259477676;0.367547187;G;yellow;Bilabiada;;
Caprifoliaceae;Lonicera implexa;Lonicera_implexa;587;24.08;10185;1.04;2;P;35;Z;SI;683.9533333;296.2241533;1.557500791;0.028079329;0.208569071;0.216436894;B-G;white;Bilabiada;40;14
Fabaceae;Lupinus angustifolius;Lupinus_angustifolius;0;;22018;0.29;3;A;13;Z;NO;451.6463333;232.2130597;1.51168102;0.076595414;0.118162219;0.158095497;B;blue;Papilionada;;
Fabaceae;Lupinus luteus;Lupinus_luteus;0;;15075;0.23;3;A;13.5;Z;NO;585.6927586;208.379119;2.34813343;0.008011524;0.146665317;0.522821833;G;white;Papilionada;;
